lang_a,lang_b,family_id,ling_divergence,geo_distance_km,lat_a,lon_a,lat_b,lon_b,corridor_ruggedness,log_geo_dist
AINU_ASAHIKAWA,AINU_YAKUMO,ainu1252,0.06380952380952382,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_ASAHIKAWA,HOKKAIDO_AINU,ainu1252,0.1863095238095238,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_ASAHIKAWA,KURIL_AINU,ainu1252,0.4060675883256529,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_ASAHIKAWA,SAKHALIN_AINU,ainu1252,0.337218045112782,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_BIHORO,AINU_HIRATORI,ainu1252,0.14744047619047618,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_BIHORO,AINU_HOROBETSU,ainu1252,0.15577380952380954,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_BIHORO,AINU_KUSHIRO,ainu1252,0.08616071428571428,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_BIHORO,AINU_MAOKA,ainu1252,0.29851190476190476,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_BIHORO,AINU_NAIRO,ainu1252,0.31319444444444444,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_BIHORO,AINU_NAYORO,ainu1252,0.12125,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_BIHORO,AINU_NIIKAPPU,ainu1252,0.15291666666666667,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_BIHORO,AINU_NUKKIBETSU,ainu1252,0.1719642857142857,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_BIHORO,AINU_OBIHIRO,ainu1252,0.08499999999999999,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_BIHORO,AINU_OCHIHO,ainu1252,0.3661904761904762,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_BIHORO,AINU_OSHAMAMBE,ainu1252,0.1758387445887446,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_BIHORO,AINU_RAICHISHKA,ainu1252,0.3375757575757576,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_BIHORO,AINU_SAMANI,ainu1252,0.1605952380952381,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_BIHORO,AINU_SARU,ainu1252,0.26687552213868004,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_BIHORO,AINU_SHIRAURA,ainu1252,0.30095238095238097,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_BIHORO,AINU_SOYA,ainu1252,0.1429637764196588,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_BIHORO,AINU_TARANTOMARI,ainu1252,0.26607142857142857,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_BIHORO,AINU_YAKUMO,ainu1252,0.1419642857142857,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_BIHORO,HOKKAIDO_AINU,ainu1252,0.2600595238095238,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_BIHORO,KURIL_AINU,ainu1252,0.4147465437788019,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_BIHORO,SAKHALIN_AINU,ainu1252,0.35031328320802,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HIRATORI,AINU_HOROBETSU,ainu1252,0.054166666666666675,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HIRATORI,AINU_KUSHIRO,ainu1252,0.11011904761904763,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HIRATORI,AINU_MAOKA,ainu1252,0.3015773809523809,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HIRATORI,AINU_NAIRO,ainu1252,0.2883730158730159,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HIRATORI,AINU_NAYORO,ainu1252,0.10238095238095238,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HIRATORI,AINU_NIIKAPPU,ainu1252,0.048333333333333325,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HIRATORI,AINU_NUKKIBETSU,ainu1252,0.03880952380952381,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HIRATORI,AINU_OBIHIRO,ainu1252,0.0718154761904762,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HIRATORI,AINU_OCHIHO,ainu1252,0.3138988095238095,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HIRATORI,AINU_OSHAMAMBE,ainu1252,0.08224025974025975,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
